requirement	STATUS	PHASE_3_RESULT	EVIDENCE	RESIDUAL_RISK	PHASE_4_ACCEPTANCE
CORS	IMPLEMENTED BY OMISSION	claim corrected in phase 4	phase 4 F4-008: the previous evidence pointer named a test file that contains no CORS test. There is no CORS code: no Access-Control-Allow-Origin is ever emitted and there is no OPTIONS handler, so a browser refuses to expose any cross-origin response. State-changing requests are additionally gated by SameSite=Strict cookies and a required x-noesar-csrf header. Verified live by SEC-04 and SEC-05	no allowlist mechanism exists, so a future deployment that needs a separate front-end origin has nothing to configure and would have to add one	cross-origin read refused: PASS
CSRF	PARTIAL	unchanged; every new mutating route requires the CSRF header	requireCsrf on all new POST/PUT routes	same-origin plus token, no double-submit rotation	forged cross-origin POST rejected
CSP / XSS	IMPLEMENTED (verified in phase 3)	was UNVERIFIED; now asserted at runtime	live test: the HTML document carries default-src self, object-src none, frame-ancestors none, and no unsafe-inline	CSP is not applied to JSON responses, which do not need it	reflected-XSS probe
WebSocket / stream origin	NOT APPLICABLE / IMPLEMENTED	tested in phase 4	there is no WebSocket anywhere in the product; streaming is SSE over POST /api/v1/chat/stream, so it carries the CSRF header requirement and SameSite=Strict cookies. A cross-origin caller has neither. Verified by SEC-05 (forged cross-origin POST refused) and SEC-01 (foreign Host refused)	there is no explicit Origin allowlist on the stream route; the protection is the CSRF header plus cookie policy	stream from a disallowed origin refused: PASS
SSRF / egress control	IMPLEMENTED (verified in phase 3)	was asserted, now tested	7 live tests: metadata endpoints, loopback, 10/172.16-31/192.168, host.docker.internal, non-HTTPS, embedded credentials, missing consent - all refused before any egress	DNS-rebinding is not defended against: the hostname is checked, not the resolved address at connect time	tool fetch to internal IP blocked
external providers default-deny	IMPLEMENTED	verified live	no provider configured; the providers watchdog probe reads local config only and reports externalCallsMade 0	none	no external call with no credentials
prompt injection (direct)	IMPLEMENTED (structural) (repaired in phase 3)	the PARTIAL claim pointed at code that did not exist	untrusted-content.mjs: fenced non-system message, fence forgery neutralised and flagged, tool scope intersection, 9-signal detector, audit entry	detection is advisory by design and can be evaded; containment is what is relied on	adversarial suite
prompt injection (indirect via documents)	IMPLEMENTED (structural) (repaired in phase 3)	retrieved passages were concatenated into the SYSTEM message	live test: a canary marker in an ingested document never appears in the system role and appears only inside the fenced untrusted message	same as above	malicious instruction inside an ingested file does not trigger tool use
agent least privilege	IMPLEMENTED	tool scope now an explicit intersection	enforceToolScope(); a disabled tool is not offered even when requested	agent runs not exercised live	agent cannot invoke a tool outside its capability set
quotas and limits	IMPLEMENTED (partially applied)	container limits applied	memory.max 8589934592, pids.max 512, cpu.max 400000/100000 read from inside the container	--memory-swap did NOT take effect (kernel lacks swap accounting); host swap is 0 so the effect holds anyway	container respects caps under load
sandbox non-root	IMPLEMENTED	verified live	id inside the container returns uid=10001 gid=10001	none	whoami is 10001
capability drop	IMPLEMENTED	verified live	CapDrop=[ALL] CapAdd=[]	none	no effective capabilities
no-new-privileges	IMPLEMENTED	verified live	SecurityOpt=[no-new-privileges:true]	none	setuid cannot escalate
read-only rootfs	IMPLEMENTED	verified live	writes to /opt/noesar and /etc refused; /workspace allowed; /tmp is noexec and execution from it is denied	none	write outside /workspace fails
seccomp	MITIGATED BY CONFIGURATION (repaired in phase 3)	the shipped profile is allow-by-default and was actually being passed by all three installers	flag removed from all three; profile marked x-noesar-status NOT_FOR_USE in its own body; tools/test-installer-hardening.mjs fails if it returns; live container has no seccomp= in SecurityOpt	the shipped profile still exists in the tree, marked; replacing it with a real allowlist was rejected as more risk than gain	a syscall outside the builtin allowlist is denied
file quarantine	PARTIAL (verified in phase 3)	uploads are stored outside any exec path and never executed	live test: a filename of ../../../etc/passwd is sanitised and stored under the blob root	no anti-virus or content scanning	uploaded file is not executed
ZIP bomb / decompression limits	IMPLEMENTED (verified in phase 3)	was UNVERIFIED; now tested with real archives	a 40 MiB highly compressible entry under 1 MiB compressed extracts within the 32 MiB text cap; an archive with 1200 entries is refused	nested archives are not recursively expanded, which is the safe default	oversized archive rejected without exhausting memory
path traversal	IMPLEMENTED (verified in phase 3)	was UNVERIFIED; now tested	../../etc/shadow, /etc/shadow and ../../../root/.ssh/id_ed25519 are blocked or resolve outside the workspace; update manifests reject ../ paths and undeclared payload files	none found	../ cannot escape /workspace
plugin / MCP signature verification	PARTIAL	no plugin installed	MCP stdio executables must be allowlisted; verified refused when the allowlist is empty	capability package signature verification is example code, not enforced at install	unsigned capability package rejected
secret vault	IMPLEMENTED (verified in phase 3)	AES-256-GCM with a pinned 16-byte tag (F-001 fix from phase 2)	live test: a canary credential round-trips and never appears in plaintext in the sealed record	none found	stored credential not readable via API or logs
secret redaction in logs	IMPLEMENTED (repaired and strengthened in phase 3)	redaction moved to the logger write path so a call site cannot forget it	18 tests; a canary never reaches the file; content keys are OMITTED not redacted; numbers survive so a 13-digit epoch is not mangled	an IPv4 literal in a string is redacted, which cost the bind address in the startup log until it was reported as a scope instead	an injected secret never appears in logs or the bundle
user / project isolation	PARTIAL - per project only, single actor	claim corrected in phase 4	phase 4 F4-008: the reference-json data plane stores NO per-user ownership on projects, conversations, memories, artifacts or sources, and no route can create a second user (auth.manage is granted but wired to nothing), so user-to-user isolation is neither implemented nor reachable today. Per-project isolation IS implemented and was verified live: WORK-13 (project memory), WORK-17 (a canary in project B never appears in project A vector search), WORK-19 (purge removes content and its vectors). RLS exists only in the Postgres schema, which is not installed	any future multi-user deployment on the reference data plane would expose every project to every authenticated user. This must be resolved before user management is added, or the Postgres data plane with RLS must be the only supported multi-user path	user A cannot read user B data: NOT REACHABLE in this build, recorded rather than claimed	SUPERSEDED IN PART (2026-08-03): "RLS exists only in the Postgres schema, which is not installed" is stale for the Postgres data plane -- docs/DATABASE_ACCEPTANCE.md records POSTGRES_INSTALLED=true, RLS enforced and live-tested (per-user AND per-workspace) since the Phase 4 completion gate, and D-0261/D-0262 (cube memory) added typed-view RLS on 3 more tables. The reference-json data-plane gap this row otherwise describes was not independently re-verified here. See docs/DECISION_LOG.md D-0262 for a real bug found in the same area: RESTRICTIVE-only RLS policies with no PERMISSIVE base had left memory_records/memory_vectors/embedding_models unwritable since deploy.
audit ledger append-only	IMPLEMENTED	verified live	events.jsonl append-only, SHA-256 hash chained, ledger.verify() true in every test that writes to it	an operator with filesystem access can still truncate the file; detection is by chain verification, not prevention	audit entry cannot be modified through the API
tamper-evident audit (hash chain)	IMPLEMENTED (Node)	the Node data plane does chain, contrary to the earlier PARTIAL note	src/audit.mjs computes SHA-256 over the previous hash; verify() walks the chain	append is O(n) per write: the whole file is re-read to find the last hash	altering a stored record is detectable
SBOM	PARTIAL - declared inventory, not an SBOM	inventory produced in phase 4	tools/generate-inventory.mjs emits a machine-readable inventory: image and base-image digests, build lineage, 311 OS packages read from the image dpkg database, 0 third-party npm dependencies in the image, 13 first-party and 113 vendored Rust crates, and sha256 of all 42 shipped first-party files. Marked conformance=PARTIAL with its gaps named	no SPDX or CycloneDX conformance, no purl identifiers, no dependency graph, no signature. No syft or cyclonedx exists on this host and installing tooling is forbidden	SBOM present and parses: PARTIAL, honestly labelled
build provenance	IMPLEMENTED	recorded for base and candidate image	docs/PHASE_3_PROVENANCE.md with both digests, image id, platform, timestamps	build is not bit-reproducible; not claimed	provenance regenerates
package/update signature	IMPLEMENTED (client side) (new in phase 3)	Ed25519 verification of signed metadata and packages	37 tests: valid accepted, forged refused, unsigned refused, tampered payload refused, undeclared file refused, expired metadata refused, beta key cannot sign stable, downgrade and anti-rollback refused	the signing side and the portal do not exist; only the offline channel is usable	signed update applied, unsigned rejected, downgrade blocked, rollback proven
backup / restore	IMPLEMENTED (pre-update)	pre-update backup is not skippable and is verified before promotion	tests: a failing backup and an unverified backup both abort the apply with nothing promoted	backups share a device with the runtime, so this is not disaster recovery	restore reproduces a working install
integrity monitoring	PARTIAL	MANIFEST.sha256 verifies 5630/5630	no runtime file-integrity monitoring inside the container	a modified file inside the running container is not detected	manifest verifies before and after
incident response	PARTIAL (new in phase 3)	incident ids, checkpoints, owner notification and a redacted support bundle now exist	INC-<uuid> per debug session; checkpoints before level >=3; owner.notification in the ledger	no written runbook	documented runbook exists (phase 5)
red-team testing	PARTIAL - adversarial suite performed, no independent third party	performed in phase 4	136 acceptance checks with captured evidence (docs/ACCEPTANCE_RESULTS.tsv), including a 41-check security suite and a 10-test committed prompt-injection containment suite; 13 findings raised, 3 of them high, all high and medium ones fixed with regression tests	not an independent penetration test: the same party wrote the code changes and the tests. Production readiness still requires the external test named in docs/PRODUCTION_READINESS_V050.md	independent penetration test remains outstanding
